CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,323,1,1
2,IPC,457,1,1
3,IPC,379A,1,1
4,IPC,379,1,1
5,IPC,379,1,1
6,IPC,323,1,1
7,IPC,323,1,1
8,IPC,392,1,1
9,ITACT,66D,1,1
10,NDPS,20,1,1
11,IPC,457,1,1
12,ITACT,66D,1,1
13,ITACT,66D,1,1
14,ITACT,66D,1,1
15,IPC,379,1,1
16,IPC,379,1,1
17,IPC,379,1,1
18,IPC,392,1,1
19,ITACT,66D,1,1
20,IPC,323,1,1
21,IPC,323,1,1
22,IPC,302,1,1
23,IPC,379,1,1
24,ITACT,66D,1,1
25,IPC,302,1,1
26,IPC,457,1,1
27,IPC,392,1,1
28,IPC,302,1,1
29,IPC,302,1,1
30,IPC,498A,1,1
31,IPC,392,1,1
32,ITACT,66D,1,1
33,IPC,379A,1,1
34,IPC,302,1,1
35,IPC,457,1,1
36,IPC,392,1,1
37,NDPS,20,1,1
38,IPC,392,1,1
39,IPC,392,1,1
40,IPC,379,1,1
41,ITACT,66D,1,1
42,ITACT,66D,1,1
43,ITACT,66D,1,1
44,IPC,392,1,1
45,ITACT,66D,1,1
46,IPC,323,1,1
47,IPC,498A,1,1
48,IPC,379A,1,1
49,IPC,379,1,1
50,ITACT,66D,1,1
51,IPC,392,1,1
52,IPC,457,1,1
53,IPC,457,1,1
54,IPC,323,1,1
55,ITACT,66D,1,1
56,IPC,457,1,1
57,IPC,498A,1,1
58,IPC,498A,1,1
59,ITACT,66D,1,1
60,IPC,457,1,1
61,IPC,323,1,1
62,IPC,379,1,1
63,IPC,323,1,1
64,IPC,457,1,1
65,IPC,498A,1,1
66,ITACT,66D,1,1
67,IPC,379,1,1
68,IPC,323,1,1
69,IPC,379,1,1
70,IPC,379,1,1
71,IPC,379,1,1
72,IPC,363,1,1
73,IPC,498A,1,1
74,IPC,379,1,1
75,NDPS,20,1,1
76,IPC,379,1,1
77,IPC,379,1,1
78,IPC,379,1,1
79,IPC,363,1,1
80,IPC,302,1,1
81,ITACT,66D,1,1
82,IPC,379,1,1
83,IPC,457,1,1
84,IPC,379,1,1
85,IPC,379,1,1
86,IPC,457,1,1
87,ITACT,66D,1,1
88,IPC,392,1,1
89,ITACT,66D,1,1
90,IPC,498A,1,1
91,IPC,379A,1,1
92,ITACT,66D,1,1
93,IPC,323,1,1
94,IPC,379,1,1
95,IPC,363,1,1
96,IPC,323,1,1
97,ITACT,66D,1,1
98,IPC,379,1,1
99,NDPS,20,1,1
100,IPC,379,1,1
101,IPC,457,1,1
102,IPC,457,1,1
103,IPC,379A,1,1
104,IPC,323,1,1
105,IPC,379A,1,1
106,IPC,457,1,1
107,IPC,392,1,1
108,ITACT,66D,1,1
109,ITACT,66D,1,1
110,IPC,498A,1,1
111,IPC,384,1,1
112,ITACT,66D,1,1
113,IPC,379,1,1
114,IPC,379,1,1
115,IPC,457,1,1
116,IPC,379,1,1
117,IPC,379A,1,1
118,IPC,498A,1,1
119,IPC,379,1,1
120,IPC,392,1,1
121,NDPS,20,1,1
122,IPC,323,1,1
123,IPC,379A,1,1
124,IPC,457,1,1
125,IPC,379,1,1
126,IPC,363,1,1
127,NDPS,20,1,1
128,IPC,379,1,1
129,ITACT,66D,1,1
130,NDPS,20,1,1
131,IPC,323,1,1
132,IPC,392,1,1
133,IPC,323,1,1
134,IPC,457,1,1
135,IPC,457,1,1
136,IPC,379,1,1
137,IPC,498A,1,1
138,IPC,323,1,1
139,IPC,379,1,1
140,IPC,457,1,1
141,ITACT,66D,1,1
142,NDPS,20,1,1
143,IPC,379,1,1
144,IPC,379A,1,1
145,IPC,457,1,1
146,IPC,379A,1,1
147,IPC,323,1,1
148,IPC,323,1,1
149,IPC,323,1,1
150,ITACT,66D,1,1
151,NDPS,20,1,1
152,ITACT,66D,1,1
153,ITACT,66D,1,1
154,ITACT,66D,1,1
155,IPC,302,1,1
156,ITACT,66D,1,1
157,IPC,379A,1,1
158,IPC,379,1,1
159,NDPS,20,1,1
160,IPC,498A,1,1
161,ITACT,66D,1,1
162,IPC,457,1,1
163,IPC,392,1,1
164,IPC,392,1,1
165,IPC,457,1,1
166,IPC,457,1,1
167,IPC,379,1,1
168,IPC,457,1,1
169,IPC,379,1,1
170,ITACT,66D,1,1
171,IPC,363,1,1
172,IPC,379A,1,1
173,IPC,379,1,1
174,IPC,323,1,1
175,NDPS,20,1,1
176,IPC,498A,1,1
177,IPC,323,1,1
178,IPC,392,1,1
179,IPC,379,1,1
180,IPC,498A,1,1
181,NDPS,20,1,1
182,IPC,392,1,1
183,IPC,323,1,1
184,ITACT,66D,1,1
185,IPC,323,1,1
186,IPC,379A,1,1
187,ITACT,66D,1,1
188,IPC,392,1,1
189,IPC,392,1,1
190,IPC,457,1,1
191,IPC,379,1,1
192,IPC,498A,1,1
193,NDPS,20,1,1
194,NDPS,20,1,1
195,ITACT,66D,1,1
196,IPC,379A,1,1
197,IPC,457,1,1
198,IPC,379,1,1
199,IPC,498A,1,1
200,IPC,457,1,1
201,IPC,457,1,1
202,IPC,392,1,1
203,IPC,457,1,1
204,IPC,457,1,1
205,IPC,498A,1,1
206,ITACT,66D,1,1
207,IPC,323,1,1
208,IPC,457,1,1
209,IPC,379A,1,1
210,IPC,379,1,1
211,IPC,302,1,1
212,IPC,379,1,1
213,IPC,457,1,1
214,ITACT,66D,1,1
215,ITACT,66D,1,1
216,IPC,379,1,1
217,IPC,379A,1,1
218,IPC,457,1,1
219,IPC,457,1,1
220,IPC,379,1,1
221,IPC,457,1,1
222,IPC,379A,1,1
223,ITACT,66D,1,1
224,IPC,323,1,1
225,IPC,363,1,1
226,IPC,323,1,1
227,IPC,384,1,1
228,ITACT,66D,1,1
229,IPC,498A,1,1
230,IPC,363,1,1
231,IPC,323,1,1
232,ITACT,66D,1,1
233,NDPS,20,1,1
234,ITACT,66D,1,1
235,ITACT,66D,1,1
236,IPC,498A,1,1
237,IPC,457,1,1
238,IPC,457,1,1
239,NDPS,20,1,1
240,IPC,379,1,1
241,IPC,379,1,1
242,IPC,379,1,1
243,ITACT,66D,1,1
244,NDPS,20,1,1
245,IPC,379,1,1
246,IPC,498A,1,1
247,ITACT,66D,1,1
248,IPC,379,1,1
249,IPC,363,1,1
250,ITACT,66D,1,1
251,IPC,379A,1,1
252,IPC,302,1,1
253,IPC,457,1,1
254,IPC,302,1,1
255,IPC,379,1,1
256,IPC,498A,1,1
257,IPC,323,1,1
258,ITACT,66D,1,1
259,IPC,457,1,1
260,ITACT,66D,1,1
261,IPC,392,1,1
262,IPC,323,1,1
263,ITACT,66D,1,1
264,IPC,498A,1,1
265,NDPS,20,1,1
266,ITACT,66D,1,1
267,IPC,498A,1,1
268,NDPS,20,1,1
269,IPC,379,1,1
270,IPC,392,1,1
271,IPC,498A,1,1
272,NDPS,20,1,1
273,NDPS,20,1,1
274,IPC,323,1,1
275,IPC,379,1,1
276,IPC,379A,1,1
277,ITACT,66D,1,1
278,IPC,379,1,1
279,IPC,323,1,1
280,IPC,379,1,1
281,IPC,379,1,1
282,IPC,457,1,1
283,IPC,379,1,1
284,IPC,457,1,1
285,IPC,302,1,1
286,IPC,457,1,1
287,ITACT,66D,1,1
