ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
3,3,1,2025-06-25,1,4419,112,125,19,3,1,0
10,10,2,2025-06-10,1,4407,39,157,7,10,1,0
15,15,1,2023-08-05,1,4417,102,185,17,15,1,0
17,17,2,2024-06-14,1,4418,105,9,18,17,1,0
18,18,2,2025-01-05,1,4406,36,372,6,18,1,0
23,23,1,2023-04-18,1,4405,30,298,5,23,1,0
27,27,2,2024-07-25,1,4406,31,161,6,27,1,0
30,30,1,2023-07-05,1,4411,64,238,11,30,1,0
33,33,1,2024-04-23,1,4420,120,259,20,33,1,0
39,39,2,2025-12-06,1,4403,16,348,3,39,1,0
40,40,1,2023-10-04,1,4415,90,255,15,40,1,0
44,44,1,2025-01-17,1,4409,49,309,9,44,1,0
47,47,1,2025-05-07,1,4418,105,9,18,47,1,0
48,48,2,2025-03-14,1,4413,75,312,13,48,1,0
55,55,1,2024-11-21,1,4406,35,27,6,55,1,0
60,60,1,2024-10-17,1,4408,43,379,8,60,1,0
61,61,2,2025-10-05,1,4401,6,167,1,61,1,0
67,67,2,2023-12-24,1,4413,73,143,13,67,1,0
71,71,1,2023-06-13,1,4406,32,12,6,71,1,0
72,72,2,2024-03-10,1,4409,54,64,9,72,1,0
74,74,1,2025-10-01,1,4418,108,278,18,74,1,0
83,83,2,2025-07-24,1,4408,45,381,8,83,1,0
84,84,1,2025-05-14,1,4404,24,122,4,84,1,0
86,86,1,2024-03-20,1,4403,15,216,3,86,1,0
90,90,2,2023-04-30,1,4420,116,107,20,90,1,0
91,91,1,2024-03-20,1,4404,22,197,4,91,1,0
95,95,1,2025-09-19,1,4410,55,350,10,95,1,0
99,99,2,2025-10-28,1,4403,15,236,3,99,1,0
105,105,1,2024-10-25,1,4404,23,330,4,105,1,0
110,110,1,2025-12-24,1,4404,24,225,4,110,1,0
111,111,2,2025-11-28,1,4412,68,121,12,111,1,0
116,116,1,2025-10-02,1,4415,89,45,15,116,1,0
117,117,2,2023-12-22,1,4418,107,182,18,117,1,0
118,118,1,2023-05-27,1,4412,72,355,12,118,1,0
126,126,1,2025-10-08,1,4418,107,170,18,126,1,0
127,127,2,2024-06-13,1,4419,114,266,19,127,1,0
129,129,1,2024-05-14,1,4402,8,180,2,129,1,0
133,133,2,2025-04-04,1,4407,39,306,7,133,1,0
136,136,1,2025-08-06,1,4419,109,91,19,136,1,0
140,140,2,2025-08-19,1,4402,10,307,2,140,1,0
141,141,1,2024-03-22,1,4406,35,352,6,141,1,0
142,142,1,2024-11-18,1,4419,110,85,19,142,1,0
145,145,1,2024-08-01,1,4416,91,38,16,145,1,0
147,147,1,2023-09-04,1,4418,108,278,18,147,1,0
148,148,1,2024-09-01,1,4402,7,56,2,148,1,0
149,149,1,2025-09-07,1,4413,73,143,13,149,1,0
150,150,1,2023-03-24,1,4401,6,364,1,150,1,0
151,151,2,2025-07-24,1,4415,89,258,15,151,1,0
155,155,2,2024-07-13,1,4418,106,203,18,155,1,0
158,158,2,2024-12-28,1,4401,4,34,1,158,1,0
159,159,1,2025-01-31,1,4415,87,270,15,159,1,0
160,160,1,2025-12-28,1,4405,29,393,5,160,1,0
162,162,1,2023-12-08,1,4406,32,12,6,162,1,0
165,165,1,2025-04-10,1,4417,98,387,17,165,1,0
167,167,1,2024-10-10,1,4404,23,75,4,167,1,0
168,168,2,2025-07-27,1,4414,79,23,14,168,1,0
170,170,1,2023-02-18,1,4407,38,147,7,170,1,0
171,171,1,2026-01-05,1,4414,82,205,14,171,1,0
174,174,1,2024-02-21,1,4415,86,256,15,174,1,0
178,178,1,2025-07-24,1,4403,14,101,3,178,1,0
179,179,2,2024-09-17,1,4412,72,355,12,179,1,0
187,187,2,2024-05-23,1,4416,92,227,16,187,1,0
197,197,1,2023-04-06,1,4415,90,255,15,197,1,0
200,200,1,2025-08-26,1,4407,41,287,7,200,1,0
202,202,1,2025-03-12,1,4411,63,271,11,202,1,0
203,203,1,2023-05-27,1,4420,118,375,20,203,1,0
204,204,1,2025-03-11,1,4418,103,15,18,204,1,0
205,205,1,2024-06-17,1,4403,16,338,3,205,1,0
219,219,2,2025-07-01,1,4412,69,187,12,219,1,0
222,222,1,2024-05-20,1,4402,8,14,2,222,1,0
224,224,2,2024-12-29,1,4403,18,175,3,224,1,0
225,225,1,2023-10-30,1,4406,35,51,6,225,1,0
