CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,144130075202500001,202500001,2025-08-27,18,75,1,2,1,2,4,13,2025-08-27 22:00:00,2025-08-27 23:00:00,2025-08-27 23:00:00,16.1993,77.38516,Assault incident reported at Raichur PS-3.
2,144100059202500001,202500001,2025-12-14,190,59,1,2,2,5,4,10,2025-12-14 23:00:00,2025-12-15 00:00:00,2025-12-15 06:00:00,13.38695,74.71393,Burglary incident reported at Udupi PS-5.
3,144190112202500001,202500001,2025-06-09,125,112,1,2,2,7,2,19,2025-06-09 21:00:00,2025-06-09 22:00:00,2025-06-10 09:00:00,12.4094,76.7923,Vehicle Theft incident reported at Mandya PS-4.
4,144050029202300001,202300001,2023-01-18,32,29,1,2,2,4,1,5,2023-01-18 15:00:00,2023-01-18 16:00:00,2023-01-18 21:00:00,15.37416,75.09574,Theft incident reported at Dharwad PS-5.
5,144130078202500001,202500001,2025-03-09,206,78,1,2,2,4,1,13,2025-03-09 17:00:00,2025-03-09 18:00:00,2025-03-10 05:00:00,16.21426,77.27724,Theft incident reported at Raichur PS-6.
6,144060035202500001,202500001,2025-07-21,138,35,1,2,1,2,1,6,2025-07-21 16:00:00,2025-07-21 17:00:00,2025-07-21 18:00:00,17.44084,76.83349,Assault incident reported at Kalaburagi PS-5.
7,144200116202300001,202300001,2023-11-05,107,116,1,2,1,2,3,20,2023-11-05 21:00:00,2023-11-05 22:00:00,2023-11-06 02:00:00,15.23712,76.07511,Assault incident reported at Koppal PS-2.
8,144030013202400001,202400001,2024-05-27,320,13,1,2,2,6,1,3,2024-05-27 19:00:00,2024-05-27 20:00:00,2024-05-28 07:00:00,12.89603,74.76729,Robbery incident reported at Dakshina Kannada PS-1.
9,144170102202500001,202500001,2025-03-07,39,102,1,2,3,8,3,17,2025-03-07 21:00:00,2025-03-07 22:00:00,2025-03-08 08:00:00,14.11932,76.41745,Cyber Fraud incident reported at Chitradurga PS-6.
10,144070039202500001,202500001,2025-06-08,157,39,1,2,5,10,2,7,2025-06-08 23:00:00,2025-06-09 00:00:00,2025-06-09 02:00:00,15.19528,76.87105,Drug Offense incident reported at Ballari PS-3.
11,844140081202300001,202300001,2023-05-03,65,81,8,2,2,5,1,14,2023-05-03 17:00:00,2023-05-03 18:00:00,2023-05-04 00:00:00,13.12556,78.06342,Burglary incident reported at Kolar PS-3.
12,144010001202300001,202300001,2023-10-03,53,1,1,2,3,8,1,1,2023-10-03 19:00:00,2023-10-03 20:00:00,2023-10-04 06:00:00,13.03181,77.6163,Cyber Fraud incident reported at Bengaluru Urban PS-1.
13,144180107202300001,202300001,2023-11-25,182,107,1,2,3,8,2,18,2023-11-25 19:00:00,2023-11-25 20:00:00,2023-11-26 02:00:00,13.10108,75.93922,Cyber Fraud incident reported at Hassan PS-5.
14,144110066202500001,202500001,2025-03-04,319,66,1,2,3,8,1,11,2025-03-04 20:00:00,2025-03-04 21:00:00,2025-03-05 02:00:00,14.34515,75.98002,Cyber Fraud incident reported at Davanagere PS-6.
15,144170102202300001,202300001,2023-07-22,185,102,1,2,2,4,2,17,2023-07-22 15:00:00,2023-07-22 16:00:00,2023-07-23 02:00:00,14.19499,76.45292,Theft incident reported at Chitradurga PS-6.
16,144020007202500001,202500001,2025-05-01,56,7,1,2,2,4,1,2,2025-05-01 20:00:00,2025-05-01 21:00:00,2025-05-01 21:00:00,12.35392,76.59728,Theft incident reported at Mysuru PS-1.
17,144180105202400001,202400001,2024-05-24,9,105,1,2,2,4,3,18,2024-05-24 21:00:00,2024-05-24 22:00:00,2024-05-25 09:00:00,13.02286,76.09671,Theft incident reported at Hassan PS-3.
