CSID,CaseMasterID,csdate,cstype,PolicePersonID
3,3,2025-08-30,A,125
10,10,2025-08-20,A,157
13,13,2024-01-09,A,182
15,15,2023-10-11,A,185
18,18,2025-02-15,A,372
30,30,2023-09-08,A,238
35,35,2025-04-04,A,65
40,40,2023-12-22,A,255
44,44,2025-03-19,A,309
49,49,2023-04-23,A,47
53,53,2023-10-16,A,106
54,54,2025-10-05,A,296
55,55,2024-12-15,A,27
58,58,2023-03-31,A,114
61,61,2025-11-14,A,167
68,68,2023-03-12,A,188
70,70,2024-08-12,A,318
72,72,2024-04-13,A,64
84,84,2025-06-15,A,122
90,90,2023-06-26,A,107
91,91,2024-05-19,A,197
95,95,2025-11-07,A,350
99,99,2025-12-05,A,236
101,101,2025-01-04,A,185
103,103,2024-06-25,A,73
105,105,2024-12-04,A,330
111,111,2026-01-17,A,121
116,116,2025-11-11,A,45
125,125,2023-04-14,A,143
126,126,2025-12-03,A,170
129,129,2024-06-17,A,180
133,133,2025-05-01,A,306
134,134,2023-10-22,A,251
137,137,2023-06-29,A,213
141,141,2024-05-02,A,352
142,142,2025-01-03,A,85
145,145,2024-09-02,A,38
147,147,2023-10-03,A,278
149,149,2025-11-25,A,143
150,150,2023-04-04,A,364
151,151,2025-09-09,A,258
155,155,2024-08-09,A,203
157,157,2025-03-30,A,226
160,160,2026-02-02,A,393
167,167,2024-10-15,A,75
168,168,2025-08-28,A,23
169,169,2025-08-28,A,18
171,171,2026-02-05,A,205
172,172,2025-04-25,A,82
177,177,2025-01-13,A,244
178,178,2025-08-16,A,101
179,179,2024-11-16,A,355
185,185,2023-08-09,A,365
187,187,2024-06-11,A,227
197,197,2023-06-21,A,255
202,202,2025-06-01,A,271
204,204,2025-05-04,A,15
208,208,2023-10-02,A,374
213,213,2024-10-06,A,361
215,215,2024-06-19,A,98
223,223,2025-05-26,A,225
224,224,2025-02-01,A,175
225,225,2023-12-12,A,51
226,226,2023-11-20,A,230
228,228,2025-06-11,A,287
229,229,2025-01-21,A,346
233,233,2023-11-15,A,103
241,241,2025-12-03,A,387
243,243,2023-10-28,A,367
254,254,2025-04-16,A,71
255,255,2025-02-14,A,98
261,261,2024-05-20,A,200
263,263,2025-03-16,A,15
264,264,2023-10-08,A,196
265,265,2025-08-09,A,290
266,266,2026-03-10,A,163
269,269,2024-10-11,A,278
272,272,2023-09-10,A,120
274,274,2024-09-10,A,19
282,282,2023-04-04,A,342
284,284,2025-05-22,A,297
285,285,2024-03-08,A,67
286,286,2025-04-20,A,208
289,289,2025-10-28,A,263
291,291,2023-07-19,A,31
292,292,2025-11-01,A,379
293,293,2025-08-02,A,71
299,299,2024-09-29,A,95
301,301,2025-04-18,A,85
313,313,2025-06-12,A,375
317,317,2025-11-08,A,227
318,318,2026-02-16,A,279
320,320,2025-03-20,A,34
