ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Complainant-1,57,3,1,4,F
2,2,Complainant-2,45,5,5,4,M
3,3,Complainant-3,30,8,3,3,F
4,4,Complainant-4,35,4,1,3,M
5,5,Complainant-5,42,5,6,3,F
6,6,Complainant-6,24,1,2,1,F
7,7,Complainant-7,40,1,3,1,M
8,8,Complainant-8,28,4,6,1,M
9,9,Complainant-9,32,5,4,3,M
10,10,Complainant-10,33,1,5,4,M
11,11,Complainant-11,22,6,5,3,F
12,12,Complainant-12,29,4,5,2,F
13,13,Complainant-13,48,7,6,2,M
14,14,Complainant-14,42,2,1,1,M
15,15,Complainant-15,42,1,3,2,M
16,16,Complainant-16,33,2,2,1,M
17,17,Complainant-17,34,8,6,4,M
18,18,Complainant-18,43,4,5,2,F
19,19,Complainant-19,37,5,5,2,M
20,20,Complainant-20,22,6,4,2,F
21,21,Complainant-21,19,2,2,1,F
22,22,Complainant-22,31,2,2,4,F
23,23,Complainant-23,58,8,5,2,F
24,24,Complainant-24,54,5,2,3,F
25,25,Complainant-25,20,3,3,1,F
26,26,Complainant-26,41,3,6,1,F
27,27,Complainant-27,46,6,1,1,F
28,28,Complainant-28,43,4,5,3,F
29,29,Complainant-29,27,5,4,1,F
30,30,Complainant-30,56,4,5,2,F
31,31,Complainant-31,44,3,3,1,M
32,32,Complainant-32,18,3,2,1,M
33,33,Complainant-33,43,8,6,3,M
34,34,Complainant-34,45,3,4,4,F
35,35,Complainant-35,44,1,5,1,F
36,36,Complainant-36,46,5,3,4,M
37,37,Complainant-37,39,7,4,3,F
38,38,Complainant-38,52,2,1,1,F
39,39,Complainant-39,40,3,2,2,M
40,40,Complainant-40,40,8,2,2,F
41,41,Complainant-41,49,6,1,1,M
42,42,Complainant-42,43,2,4,1,F
43,43,Complainant-43,31,8,6,3,F
44,44,Complainant-44,37,4,6,3,M
45,45,Complainant-45,19,5,1,3,F
46,46,Complainant-46,38,8,1,2,F
47,47,Complainant-47,32,4,5,3,F
48,48,Complainant-48,18,5,4,1,F
49,49,Complainant-49,31,4,3,4,F
50,50,Complainant-50,41,6,4,1,M
51,51,Complainant-51,45,5,2,2,F
52,52,Complainant-52,35,2,3,3,F
53,53,Complainant-53,38,8,5,3,F
54,54,Complainant-54,45,8,4,2,M
55,55,Complainant-55,48,6,5,2,M
56,56,Complainant-56,29,7,4,3,M
57,57,Complainant-57,30,7,3,4,M
58,58,Complainant-58,41,4,6,3,F
59,59,Complainant-59,57,1,6,3,M
60,60,Complainant-60,34,4,5,4,F
61,61,Complainant-61,43,7,5,2,F
62,62,Complainant-62,27,1,1,4,F
63,63,Complainant-63,28,2,6,3,M
64,64,Complainant-64,30,5,1,4,M
65,65,Complainant-65,62,5,3,1,M
66,66,Complainant-66,61,6,1,2,M
67,67,Complainant-67,54,8,4,4,F
68,68,Complainant-68,46,6,4,3,F
69,69,Complainant-69,23,1,1,1,F
70,70,Complainant-70,39,2,1,2,F
71,71,Complainant-71,50,5,2,1,F
72,72,Complainant-72,18,2,4,3,M
73,73,Complainant-73,38,8,4,4,F
74,74,Complainant-74,37,2,3,3,M
75,75,Complainant-75,25,4,2,1,M
76,76,Complainant-76,44,7,1,2,F
77,77,Complainant-77,22,1,2,1,F
78,78,Complainant-78,35,7,3,1,M
79,79,Complainant-79,18,3,1,4,M
80,80,Complainant-80,42,4,2,3,F
81,81,Complainant-81,40,4,1,1,F
82,82,Complainant-82,49,3,2,1,M
83,83,Complainant-83,45,2,1,2,F
84,84,Complainant-84,62,3,2,4,M
85,85,Complainant-85,26,5,5,2,M
86,86,Complainant-86,26,6,4,2,M
87,87,Complainant-87,47,2,5,1,F
88,88,Complainant-88,18,1,4,4,M
89,89,Complainant-89,18,5,4,3,M
90,90,Complainant-90,33,6,3,2,M
91,91,Complainant-91,56,1,1,3,F
92,92,Complainant-92,30,8,1,1,F
93,93,Complainant-93,32,3,4,3,F
94,94,Complainant-94,64,8,5,4,F
95,95,Complainant-95,24,3,6,3,M
96,96,Complainant-96,35,3,5,3,M
97,97,Complainant-97,52,3,5,4,F
98,98,Complainant-98,41,4,3,2,M
99,99,Complainant-99,31,6,4,3,M
100,100,Complainant-100,25,3,5,1,M
101,101,Complainant-101,55,3,5,4,M
102,102,Complainant-102,57,3,3,3,F
103,103,Complainant-103,39,7,3,4,M
104,104,Complainant-104,44,5,3,1,M
105,105,Complainant-105,36,3,1,2,F
106,106,Complainant-106,32,8,3,3,F
107,107,Complainant-107,21,4,3,2,M
108,108,Complainant-108,34,8,1,3,M
109,109,Complainant-109,52,6,3,2,M
110,110,Complainant-110,37,4,5,4,F
111,111,Complainant-111,30,8,3,3,M
112,112,Complainant-112,52,6,2,1,F
113,113,Complainant-113,27,6,2,3,M
114,114,Complainant-114,23,7,4,3,M
115,115,Complainant-115,33,6,2,3,M
