incident_id,date,hour,district,police_station,crime_type,mo,latitude,longitude,suspect_id,victim_id,victim_age,victim_gender,weapon_used,severity_score,resolved,urbanization,pop_density,literacy_rate,unemployment_rate,month,day_of_week,is_weekend,is_repeat_offender,CrimeNo,CaseStatusName,anomaly_score,is_anomaly,hotspot_cluster
INC-000001,2025-08-27,22,Raichur,Raichur PS-3,Assault,group assault,16.1993,77.38516,ACC-00431,1,30,M,False,4.3,0,24,335,60.5,7.2,8,2,False,False,144130075202500001,Undetected,1,False,0
INC-000002,2025-12-14,23,Udupi,Udupi PS-5,Burglary,window forced entry,13.38695,74.71393,ACC-00468,2,27,T,False,2.1,0,27,407,86.2,3.4,12,6,True,False,144100059202500001,Undetected,1,False,1
INC-000003,2025-06-09,21,Mandya,Mandya PS-4,Vehicle Theft,parking-lot theft,12.4094,76.7923,ACC-08745,3,19,F,False,1.6,1,17,460,71.9,5.1,6,0,False,False,144190112202500001,Charge Sheeted,1,False,18
INC-000004,2023-01-18,15,Dharwad,Dharwad PS-5,Theft,shop-lifting,15.37416,75.09574,ACC-08059,4,34,F,False,2.9,0,56,439,80.5,5.7,1,2,False,False,144050029202300001,Under Investigation,1,False,2
INC-000005,2025-03-09,17,Raichur,Raichur PS-6,Theft,shop-lifting,16.21426,77.27724,ACC-03614,5,25,M,False,1.5,0,24,335,60.5,7.2,3,6,True,False,144130078202500001,Under Investigation,1,False,0
INC-000006,2025-07-21,16,Kalaburagi,Kalaburagi PS-5,Assault,altercation escalation,17.44084,76.83349,ACC-04458,6,45,F,False,4.1,0,32,316,64.8,6.9,7,0,False,False,144060035202500001,Under Investigation,1,False,3
INC-000007,2023-11-05,21,Koppal,Koppal PS-2,Assault,group assault,15.23712,76.07511,ACC-06434,7,44,M,False,3.0,1,20,261,65.5,6.6,11,6,True,True,144200116202300001,Closed,1,False,12
INC-000008,2024-05-27,19,Dakshina Kannada,Dakshina Kannada PS-1,Robbery,chain snatching - two-wheeler,12.89603,74.76729,ACC-00206,8,27,F,False,3.4,0,45,619,88.6,3.9,5,0,False,False,144030013202400001,Under Investigation,1,False,4
INC-000009,2025-03-07,21,Chitradurga,Chitradurga PS-6,Cyber Fraud,UPI phishing,14.11932,76.41745,ACC-05113,9,24,F,False,3.8,1,21,197,73.6,5.4,3,4,False,False,144170102202500001,Closed,1,False,5
INC-000010,2025-06-08,23,Ballari,Ballari PS-3,Drug Offense,street-level peddling,15.19528,76.87105,ACC-02742,10,38,F,False,4.4,1,35,302,67.2,6.4,6,6,True,False,144070039202500001,Charge Sheeted,1,False,6
INC-000011,2023-05-03,17,Kolar,Kolar PS-3,Burglary,forced entry - night,13.12556,78.06342,ACC-08625,11,45,T,False,2.3,0,20,396,73.8,5.6,5,2,False,True,844140081202300001,Under Investigation,1,False,7
INC-000012,2023-10-03,19,Bengaluru Urban,Bengaluru Urban PS-1,Cyber Fraud,OTP scam,13.03181,77.6163,ACC-00646,12,39,F,False,2.5,0,91,4381,87.7,6.1,10,1,False,False,144010001202300001,Under Investigation,1,False,8
INC-000013,2023-11-25,19,Hassan,Hassan PS-5,Cyber Fraud,UPI phishing,13.10108,75.93922,ACC-07272,13,35,T,False,2.3,1,18,320,78.3,4.6,11,5,True,True,144180107202300001,Charge Sheeted,1,False,-1
INC-000014,2025-03-04,20,Davanagere,Davanagere PS-6,Cyber Fraud,SIM swap,14.34515,75.98002,ACC-08151,14,54,M,False,3.3,0,34,429,76.6,5.3,3,1,False,False,144110066202500001,Under Investigation,1,False,14
INC-000015,2023-07-22,15,Chitradurga,Chitradurga PS-6,Theft,shop-lifting,14.19499,76.45292,ACC-03811,15,26,M,False,2.7,1,21,197,73.6,5.4,7,5,True,True,144170102202300001,Charge Sheeted,1,False,5
INC-000016,2025-05-01,20,Mysuru,Mysuru PS-1,Theft,shop-lifting,12.35392,76.59728,ACC-00955,16,28,T,False,2.6,0,51,493,72.6,4.8,5,3,False,False,144020007202500001,Under Investigation,1,False,9
INC-000017,2024-05-24,21,Hassan,Hassan PS-3,Theft,shop-lifting,13.02286,76.09671,ACC-02931,17,14,M,False,2.1,1,18,320,78.3,4.6,5,4,False,False,144180105202400001,Closed,1,False,10
INC-000018,2024-12-22,18,Kalaburagi,Kalaburagi PS-6,Robbery,chain snatching - two-wheeler,17.28156,76.82462,ACC-05319,18,60,T,False,5.5,1,32,316,64.8,6.9,12,6,True,False,144060036202400001,Charge Sheeted,1,False,3
INC-000019,2023-02-03,21,Bengaluru Urban,Bengaluru Urban PS-2,Cyber Fraud,UPI phishing,12.96713,77.47947,ACC-04945,19,34,M,False,1.0,0,91,4381,87.7,6.1,2,4,False,True,844010002202300001,Under Investigation,1,False,8
INC-000020,2024-05-26,19,Bidar,Bidar PS-2,Assault,altercation escalation,17.92849,77.51782,ACC-04920,20,49,T,False,2.3,0,21,316,70.5,6.8,5,6,True,False,144120068202400001,Undetected,1,False,11
INC-000021,2025-02-20,23,Koppal,Koppal PS-4,Assault,group assault,15.30014,76.23897,ACC-01901,21,42,M,False,4.8,0,20,261,65.5,6.6,2,3,False,True,144200118202500001,Undetected,1,False,12
INC-000022,2023-11-03,15,Chitradurga,Chitradurga PS-2,Murder,domestic escalation,14.19112,76.40398,ACC-03617,22,12,F,False,7.5,0,21,197,73.6,5.4,11,4,False,False,144170098202300001,Undetected,1,False,5
INC-000023,2023-04-11,14,Dharwad,Dharwad PS-6,Theft,opportunistic pickpocketing,15.48732,74.95263,ACC-04301,23,23,F,False,1.2,1,56,439,80.5,5.7,4,1,False,False,144050030202300001,Closed,1,False,2
INC-000024,2023-07-03,23,Raichur,Raichur PS-3,Cyber Fraud,UPI phishing,16.13375,77.35995,ACC-01262,24,11,T,False,2.3,0,24,335,60.5,7.2,7,0,False,True,144130075202300001,Under Investigation,1,False,0
INC-000025,2024-02-13,21,Chikkamagaluru,Chikkamagaluru PS-6,Murder,personal enmity,13.36301,75.69778,ACC-02555,25,41,T,False,9.3,0,19,191,81.9,4.1,2,1,False,False,144150090202400001,Under Investigation,1,False,13
INC-000026,2024-03-04,21,Udupi,Udupi PS-5,Burglary,impersonation - utility worker,13.36169,74.7013,ACC-03471,26,38,T,False,2.4,0,27,407,86.2,3.4,3,0,False,False,144100059202400001,Under Investigation,1,False,1
INC-000027,2024-07-09,23,Kalaburagi,Kalaburagi PS-1,Robbery,ATM area targeting,17.35813,76.76282,ACC-02420,27,20,T,True,5.8,1,32,316,64.8,6.9,7,1,False,True,144060031202400001,Closed,1,False,3
INC-000028,2025-12-24,23,Raichur,Raichur PS-3,Murder,personal enmity,16.15836,77.4041,ACC-08720,28,45,F,True,8.5,0,24,335,60.5,7.2,12,2,False,True,144130075202500002,Undetected,-1,True,0
INC-000029,2024-12-28,18,Kalaburagi,Kalaburagi PS-3,Murder,domestic escalation,17.28448,76.78093,ACC-03869,29,32,M,False,10.0,0,32,316,64.8,6.9,12,5,True,False,144060033202400001,Under Investigation,1,False,3
INC-000030,2023-06-29,21,Davanagere,Davanagere PS-4,Domestic Violence,dowry-related,14.51403,75.99398,ACC-08531,30,30,F,False,4.9,1,34,429,76.6,5.3,6,3,False,False,144110064202300001,Charge Sheeted,1,False,14
INC-000031,2024-02-19,23,Dharwad,Dharwad PS-5,Robbery,armed - two person,15.40747,74.94355,ACC-05062,31,30,M,False,5.1,0,56,439,80.5,5.7,2,0,False,False,144050029202400001,Undetected,1,False,2
INC-000032,2025-04-27,22,Dharwad,Dharwad PS-6,Cyber Fraud,SIM swap,15.45453,74.95699,ACC-04970,32,27,M,False,2.3,0,56,439,80.5,5.7,4,6,True,False,144050030202500001,Undetected,1,False,2
INC-000033,2024-04-17,21,Koppal,Koppal PS-6,Vehicle Theft,parking-lot theft,15.27996,76.16519,ACC-03783,33,21,F,False,2.4,1,20,261,65.5,6.6,4,2,False,False,144200120202400001,Closed,1,False,12
INC-000034,2023-01-31,20,Shivamogga,Shivamogga PS-4,Murder,personal enmity,13.86132,75.58957,ACC-06767,34,49,F,False,7.7,0,29,254,81.3,4.5,1,1,False,True,144080046202300001,Under Investigation,1,False,15
INC-000035,2025-02-18,13,Kolar,Kolar PS-3,Burglary,impersonation - utility worker,13.08043,78.1607,ACC-06457,35,41,F,False,3.2,1,20,396,73.8,5.6,2,1,False,False,144140081202500001,Charge Sheeted,1,False,7
INC-000036,2023-03-22,22,Chitradurga,Chitradurga PS-4,Robbery,chain snatching - two-wheeler,14.29323,76.45524,ACC-08456,36,29,F,False,5.3,0,21,197,73.6,5.4,3,2,False,False,844170100202300001,Under Investigation,1,False,5
INC-000037,2023-10-19,16,Koppal,Koppal PS-3,Drug Offense,street-level peddling,15.34049,76.12568,ACC-07400,37,66,M,False,2.3,0,20,261,65.5,6.6,10,3,False,False,144200117202300001,Under Investigation,1,False,12
INC-000038,2024-02-18,23,Chikkamagaluru,Chikkamagaluru PS-5,Robbery,armed - two person,13.21934,75.74368,ACC-01477,38,34,T,False,3.8,0,19,191,81.9,4.1,2,6,True,False,144150089202400001,Undetected,1,False,13
INC-000039,2025-11-13,16,Dakshina Kannada,Dakshina Kannada PS-4,Robbery,ATM area targeting,12.95488,74.81218,ACC-02619,39,34,T,False,4.1,1,45,619,88.6,3.9,11,3,False,False,144030016202500001,Closed,1,False,4
INC-000040,2023-09-27,23,Chikkamagaluru,Chikkamagaluru PS-6,Theft,snatch-and-run,13.35414,75.65049,ACC-00057,40,24,F,False,2.2,1,19,191,81.9,4.1,9,2,False,False,144150090202300001,Charge Sheeted,1,False,13
