district,date,incident_count,avg_severity,weapon_rate,urbanization,pop_density,literacy,unemployment,rolling_7d_count,day_of_week,month,threshold,high_risk,district_enc
Bagalkot,2023-01-02,1,2.5,0.0,22,316,68.8,6.0,1.0,0,1,2.0,0,0
Bagalkot,2023-01-03,1,3.5,0.0,22,316,68.8,6.0,1.0,1,1,2.0,0,0
Bagalkot,2023-01-05,1,2.8,0.0,22,316,68.8,6.0,1.0,3,1,2.0,0,0
Bagalkot,2023-01-11,1,1.5,0.0,22,316,68.8,6.0,1.0,2,1,2.0,0,0
Bagalkot,2023-01-14,3,4.066666666666666,0.3333333333333333,22,316,68.8,6.0,1.4,5,1,2.0,1,0
Bagalkot,2023-01-16,2,3.75,0.0,22,316,68.8,6.0,1.5,0,1,2.0,1,0
Bagalkot,2023-01-17,3,3.6,0.3333333333333333,22,316,68.8,6.0,1.7142857142857142,1,1,2.0,1,0
Bagalkot,2023-01-20,2,2.75,0.0,22,316,68.8,6.0,1.8571428571428572,4,1,2.0,1,0
Bagalkot,2023-01-21,1,2.1,0.0,22,316,68.8,6.0,1.8571428571428572,5,1,2.0,0,0
Bagalkot,2023-01-22,3,3.233333333333333,0.0,22,316,68.8,6.0,2.142857142857143,6,1,2.0,1,0
Bagalkot,2023-01-23,2,4.15,0.0,22,316,68.8,6.0,2.2857142857142856,0,1,2.0,1,0
Bagalkot,2023-01-26,1,5.8,0.0,22,316,68.8,6.0,2.0,3,1,2.0,0,0
Bagalkot,2023-01-27,1,1.9,0.0,22,316,68.8,6.0,1.8571428571428572,4,1,2.0,0,0
Bagalkot,2023-01-29,1,2.7,0.0,22,316,68.8,6.0,1.5714285714285714,6,1,2.0,0,0
Bagalkot,2023-01-30,1,2.3,0.0,22,316,68.8,6.0,1.4285714285714286,0,1,2.0,0,0
Bagalkot,2023-01-31,2,4.1,0.0,22,316,68.8,6.0,1.5714285714285714,1,1,2.0,1,0
Bagalkot,2023-02-01,1,1.9,0.0,22,316,68.8,6.0,1.2857142857142858,2,2,2.0,0,0
Bagalkot,2023-02-03,1,3.5,1.0,22,316,68.8,6.0,1.1428571428571428,4,2,2.0,0,0
Bagalkot,2023-02-04,2,3.9,0.5,22,316,68.8,6.0,1.2857142857142858,5,2,2.0,1,0
Bagalkot,2023-02-06,2,3.9,0.5,22,316,68.8,6.0,1.4285714285714286,0,2,2.0,1,0
Bagalkot,2023-02-07,1,2.8,0.0,22,316,68.8,6.0,1.4285714285714286,1,2,2.0,0,0
Bagalkot,2023-02-09,1,2.8,0.0,22,316,68.8,6.0,1.4285714285714286,3,2,2.0,0,0
Bagalkot,2023-02-10,2,2.85,0.0,22,316,68.8,6.0,1.4285714285714286,4,2,2.0,1,0
Bagalkot,2023-02-13,1,4.7,0.0,22,316,68.8,6.0,1.4285714285714286,0,2,2.0,0,0
Bagalkot,2023-02-18,2,2.0,0.0,22,316,68.8,6.0,1.5714285714285714,5,2,2.0,1,0
Bagalkot,2023-02-22,1,2.1,0.0,22,316,68.8,6.0,1.4285714285714286,2,2,2.0,0,0
Bagalkot,2023-02-23,3,2.2333333333333334,0.0,22,316,68.8,6.0,1.5714285714285714,3,2,2.0,1,0
Bagalkot,2023-02-25,1,2.4,0.0,22,316,68.8,6.0,1.5714285714285714,5,2,2.0,0,0
Bagalkot,2023-02-26,1,3.2,1.0,22,316,68.8,6.0,1.5714285714285714,6,2,2.0,0,0
Bagalkot,2023-02-27,2,3.4000000000000004,0.0,22,316,68.8,6.0,1.5714285714285714,0,2,2.0,1,0
Bagalkot,2023-02-28,1,2.6,0.0,22,316,68.8,6.0,1.5714285714285714,1,2,2.0,0,0
Bagalkot,2023-03-02,1,2.2,0.0,22,316,68.8,6.0,1.4285714285714286,3,3,2.0,0,0
Bagalkot,2023-03-03,2,4.8,0.0,22,316,68.8,6.0,1.5714285714285714,4,3,2.0,1,0
Bagalkot,2023-03-04,1,3.1,1.0,22,316,68.8,6.0,1.2857142857142858,5,3,2.0,0,0
Bagalkot,2023-03-06,1,3.8,0.0,22,316,68.8,6.0,1.2857142857142858,0,3,2.0,0,0
Bagalkot,2023-03-09,1,4.9,0.0,22,316,68.8,6.0,1.2857142857142858,3,3,2.0,0,0
Bagalkot,2023-03-13,2,3.3,0.0,22,316,68.8,6.0,1.2857142857142858,0,3,2.0,1,0
Bagalkot,2023-03-15,2,4.0,0.0,22,316,68.8,6.0,1.4285714285714286,2,3,2.0,1,0
Bagalkot,2023-03-16,1,2.8,0.0,22,316,68.8,6.0,1.4285714285714286,3,3,2.0,0,0
Bagalkot,2023-03-19,1,1.8,0.0,22,316,68.8,6.0,1.2857142857142858,6,3,2.0,0,0
Bagalkot,2023-03-21,1,1.2,0.0,22,316,68.8,6.0,1.2857142857142858,1,3,2.0,0,0
Bagalkot,2023-03-23,1,2.4,0.0,22,316,68.8,6.0,1.2857142857142858,3,3,2.0,0,0
Bagalkot,2023-03-24,1,2.5,0.0,22,316,68.8,6.0,1.2857142857142858,4,3,2.0,0,0
Bagalkot,2023-03-26,1,4.2,0.0,22,316,68.8,6.0,1.1428571428571428,6,3,2.0,0,0
Bagalkot,2023-03-27,1,4.4,0.0,22,316,68.8,6.0,1.0,0,3,2.0,0,0
Bagalkot,2023-03-28,1,2.4,0.0,22,316,68.8,6.0,1.0,1,3,2.0,0,0
Bagalkot,2023-03-29,1,2.8,0.0,22,316,68.8,6.0,1.0,2,3,2.0,0,0
Bagalkot,2023-04-01,1,3.1,0.0,22,316,68.8,6.0,1.0,5,4,2.0,0,0
Bagalkot,2023-04-02,1,3.8,0.0,22,316,68.8,6.0,1.0,6,4,2.0,0,0
Bagalkot,2023-04-04,3,2.3666666666666667,0.0,22,316,68.8,6.0,1.2857142857142858,1,4,2.0,1,0
Bagalkot,2023-04-05,1,1.3,0.0,22,316,68.8,6.0,1.2857142857142858,2,4,2.0,0,0
Bagalkot,2023-04-08,2,2.9,0.5,22,316,68.8,6.0,1.4285714285714286,5,4,2.0,1,0
Bagalkot,2023-04-10,1,3.1,0.0,22,316,68.8,6.0,1.4285714285714286,0,4,2.0,0,0
Bagalkot,2023-04-12,1,2.1,0.0,22,316,68.8,6.0,1.4285714285714286,2,4,2.0,0,0
