source,target,crime_type,incident_id
ACC-00431,VIC-1,Assault,INC-000001
ACC-00431,Raichur PS-3,,INC-000001
ACC-00431,VIC-1672,Cyber Fraud,INC-001672
ACC-00431,Davanagere PS-3,,INC-001672
Raichur PS-3,ACC-01262,,INC-000024
Raichur PS-3,ACC-08720,,INC-008192
Raichur PS-3,ACC-01914,,INC-000048
Raichur PS-3,ACC-01450,,INC-000169
Raichur PS-3,ACC-01625,,INC-000298
Raichur PS-3,ACC-03046,,INC-000310
Raichur PS-3,ACC-00804,,INC-000707
Raichur PS-3,ACC-08159,,INC-000855
Raichur PS-3,ACC-08140,,INC-000912
Raichur PS-3,ACC-03927,,INC-000924
Raichur PS-3,ACC-00137,,INC-001020
Raichur PS-3,ACC-08851,,INC-001145
Raichur PS-3,ACC-08829,,INC-001234
Raichur PS-3,ACC-00499,,INC-001262
Raichur PS-3,ACC-08009,,INC-001292
Raichur PS-3,ACC-06099,,INC-001347
Raichur PS-3,ACC-07965,,INC-001368
Raichur PS-3,ACC-00790,,INC-001498
Raichur PS-3,ACC-08271,,INC-001500
Raichur PS-3,ACC-05759,,INC-017298
Raichur PS-3,ACC-08897,,INC-001562
Raichur PS-3,ACC-00990,,INC-001583
Raichur PS-3,ACC-03399,,INC-001865
Raichur PS-3,ACC-04472,,INC-001934
Raichur PS-3,ACC-01132,,INC-002293
Raichur PS-3,ACC-05995,,INC-002633
Raichur PS-3,ACC-08379,,INC-002937
Raichur PS-3,ACC-08316,,INC-003039
Raichur PS-3,ACC-02134,,INC-003341
Raichur PS-3,ACC-05998,,INC-003806
Raichur PS-3,ACC-06116,,INC-004230
Raichur PS-3,ACC-06692,,INC-004302
Raichur PS-3,ACC-05880,,INC-004394
Raichur PS-3,ACC-05371,,INC-004623
Raichur PS-3,ACC-01892,,INC-004966
Raichur PS-3,ACC-00840,,INC-005012
Raichur PS-3,ACC-08726,,INC-005123
Raichur PS-3,ACC-02660,,INC-005211
Raichur PS-3,ACC-06541,,INC-005298
Raichur PS-3,ACC-08455,,INC-005392
Raichur PS-3,ACC-07471,,INC-005461
Raichur PS-3,ACC-01787,,INC-005691
Raichur PS-3,ACC-05543,,INC-005765
Raichur PS-3,ACC-05090,,INC-005827
Raichur PS-3,ACC-04055,,INC-006124
Raichur PS-3,ACC-08462,,INC-006140
Raichur PS-3,ACC-03267,,INC-006265
Raichur PS-3,ACC-07814,,INC-006372
Raichur PS-3,ACC-06680,,INC-007143
Raichur PS-3,ACC-03586,,INC-007175
Raichur PS-3,ACC-00322,,INC-007324
Raichur PS-3,ACC-07951,,INC-007510
Raichur PS-3,ACC-01020,,INC-007526
Raichur PS-3,ACC-08335,,INC-007734
Raichur PS-3,ACC-06470,,INC-007761
Raichur PS-3,ACC-07028,,INC-007797
Raichur PS-3,ACC-00461,,INC-007836
Raichur PS-3,ACC-05467,,INC-007851
Raichur PS-3,ACC-05023,,INC-007916
Raichur PS-3,ACC-05799,,INC-008207
Raichur PS-3,ACC-08194,,INC-008250
Raichur PS-3,ACC-04058,,INC-008408
Raichur PS-3,ACC-00997,,INC-008627
Raichur PS-3,ACC-05087,,INC-008688
Raichur PS-3,ACC-06892,,INC-008791
Raichur PS-3,ACC-03146,,INC-008828
Raichur PS-3,ACC-02231,,INC-008843
Raichur PS-3,ACC-03547,,INC-008914
Raichur PS-3,ACC-08924,,INC-009034
Raichur PS-3,ACC-02130,,INC-009064
Raichur PS-3,ACC-01485,,INC-009113
Raichur PS-3,ACC-05727,,INC-009127
Raichur PS-3,ACC-05867,,INC-009143
Raichur PS-3,ACC-04393,,INC-009247
Raichur PS-3,ACC-02830,,INC-009292
Raichur PS-3,ACC-08798,,INC-009320
Raichur PS-3,ACC-08393,,INC-009349
Raichur PS-3,ACC-01513,,INC-009402
Raichur PS-3,ACC-04221,,INC-009837
Raichur PS-3,ACC-00888,,INC-009916
Raichur PS-3,ACC-03315,,INC-009998
Raichur PS-3,ACC-04160,,INC-010127
Raichur PS-3,ACC-02702,,INC-010212
Raichur PS-3,ACC-06770,,INC-010213
Raichur PS-3,ACC-08371,,INC-010239
Raichur PS-3,ACC-08622,,INC-010288
Raichur PS-3,ACC-02048,,INC-010322
Raichur PS-3,ACC-05550,,INC-010384
Raichur PS-3,ACC-01889,,INC-010472
Raichur PS-3,ACC-07928,,INC-010626
Raichur PS-3,ACC-02298,,INC-010719
Raichur PS-3,ACC-06108,,INC-010778
Raichur PS-3,ACC-08892,,INC-010794
Raichur PS-3,ACC-03121,,INC-010880
Raichur PS-3,ACC-05900,,INC-011189
Raichur PS-3,ACC-08899,,INC-011210
Raichur PS-3,ACC-03970,,INC-011213
Raichur PS-3,ACC-00453,,INC-011435
Raichur PS-3,ACC-00359,,INC-011463
Raichur PS-3,ACC-00078,,INC-011796
Raichur PS-3,ACC-00117,,INC-011888
Raichur PS-3,ACC-00106,,INC-011924
Raichur PS-3,ACC-05536,,INC-011962
Raichur PS-3,ACC-03542,,INC-011991
Raichur PS-3,ACC-02856,,INC-012007
Raichur PS-3,ACC-01034,,INC-012061
Raichur PS-3,ACC-07871,,INC-012064
Raichur PS-3,ACC-02846,,INC-012106
Raichur PS-3,ACC-00514,,INC-012130
Raichur PS-3,ACC-08262,,INC-012150
Raichur PS-3,ACC-04346,,INC-012294
Raichur PS-3,ACC-03281,,INC-012642
Raichur PS-3,ACC-02340,,INC-012809
Raichur PS-3,ACC-02908,,INC-013710
Raichur PS-3,ACC-01368,,INC-013912
Raichur PS-3,ACC-03887,,INC-013979
Raichur PS-3,ACC-07764,,INC-014156
Raichur PS-3,ACC-05279,,INC-014182
Raichur PS-3,ACC-07414,,INC-014359
