node,type
ACC-00431,suspect
VIC-1,victim
Raichur PS-3,location
ACC-00468,suspect
VIC-2,victim
Udupi PS-5,location
ACC-08745,suspect
VIC-3,victim
Mandya PS-4,location
ACC-08059,suspect
VIC-4,victim
Dharwad PS-5,location
ACC-03614,suspect
VIC-5,victim
Raichur PS-6,location
ACC-04458,suspect
VIC-6,victim
Kalaburagi PS-5,location
ACC-06434,suspect
VIC-7,victim
Koppal PS-2,location
ACC-00206,suspect
VIC-8,victim
Dakshina Kannada PS-1,location
ACC-05113,suspect
VIC-9,victim
Chitradurga PS-6,location
ACC-02742,suspect
VIC-10,victim
Ballari PS-3,location
ACC-08625,suspect
VIC-11,victim
Kolar PS-3,location
ACC-00646,suspect
VIC-12,victim
Bengaluru Urban PS-1,location
ACC-07272,suspect
VIC-13,victim
Hassan PS-5,location
ACC-08151,suspect
VIC-14,victim
Davanagere PS-6,location
ACC-03811,suspect
VIC-15,victim
ACC-00955,suspect
VIC-16,victim
Mysuru PS-1,location
ACC-02931,suspect
VIC-17,victim
Hassan PS-3,location
ACC-05319,suspect
VIC-18,victim
Kalaburagi PS-6,location
ACC-04945,suspect
VIC-19,victim
Bengaluru Urban PS-2,location
ACC-04920,suspect
VIC-20,victim
Bidar PS-2,location
ACC-01901,suspect
VIC-21,victim
Koppal PS-4,location
ACC-03617,suspect
VIC-22,victim
Chitradurga PS-2,location
ACC-04301,suspect
VIC-23,victim
Dharwad PS-6,location
ACC-01262,suspect
VIC-24,victim
ACC-02555,suspect
VIC-25,victim
Chikkamagaluru PS-6,location
ACC-03471,suspect
VIC-26,victim
ACC-02420,suspect
VIC-27,victim
Kalaburagi PS-1,location
ACC-08720,suspect
VIC-28,victim
ACC-03869,suspect
VIC-29,victim
Kalaburagi PS-3,location
ACC-08531,suspect
VIC-30,victim
Davanagere PS-4,location
ACC-05062,suspect
VIC-31,victim
ACC-04970,suspect
VIC-32,victim
ACC-03783,suspect
VIC-33,victim
Koppal PS-6,location
ACC-06767,suspect
VIC-34,victim
Shivamogga PS-4,location
ACC-06457,suspect
VIC-35,victim
ACC-08456,suspect
VIC-36,victim
Chitradurga PS-4,location
ACC-07400,suspect
VIC-37,victim
Koppal PS-3,location
ACC-01477,suspect
VIC-38,victim
Chikkamagaluru PS-5,location
ACC-02619,suspect
VIC-39,victim
Dakshina Kannada PS-4,location
ACC-00057,suspect
VIC-40,victim
ACC-02236,suspect
VIC-41,victim
ACC-05901,suspect
VIC-42,victim
ACC-03438,suspect
VIC-43,victim
Belagavi PS-6,location
ACC-08132,suspect
VIC-44,victim
Tumakuru PS-1,location
ACC-06337,suspect
VIC-45,victim
ACC-00477,suspect
VIC-46,victim
Bengaluru Urban PS-4,location
ACC-00917,suspect
VIC-47,victim
ACC-01914,suspect
VIC-48,victim
ACC-01517,suspect
VIC-49,victim
ACC-08558,suspect
VIC-50,victim
Chitradurga PS-5,location
ACC-03154,suspect
VIC-51,victim
Bengaluru Urban PS-3,location
ACC-04440,suspect
VIC-52,victim
Hassan PS-1,location
ACC-01410,suspect
